"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"Inventory Service","Negative Tests Dynamic Response","Get Cars List","2","0","26","0","0"
"Inventory Service","Positive Tests Dynamic Response","Get Cars List","0","0","15","0","0"
"Inventory Service","Positive Tests Dynamic Response","Get Inspection","0","0","14","0","0"
"Inventory Service","Positive Tests Dynamic Response","Get Model List","0","0","16","0","0"
"Inventory Service","Negative Tests Dynamic Response","Get Model List","3","0","17","0","0"
"Inventory Service","Positive Tests Dynamic Response","Get Make","0","0","1","0","0"
"Inventory Service","Negative Tests Dynamic Response","Get Inspection","2","0","26","0","0"
"Inventory Service","Negative Tests Dynamic Response","Get Trims","0","0","2","0","0"
"Inventory Service","Positive Tests Dynamic Response","Get obds","0","0","1","0","0"
"Inventory Service","Positive Tests Dynamic Response","Get Trims","0","0","2","0","0"
"Inventory Service","Negative Tests Dynamic Response","Get Make","0","0","1","0","0"
"Inventory Service","Negative Tests Dynamic Response","Get obds","0","0","1","0","0"
"Inventory Service","Positive Tests Dynamic Response","Get Inspection Request","0","0","1","0","0"
"Inventory Service","Negative Tests Dynamic Response","Get Inspection Request","0","0","1","0","0"
